type,link,pair,PRODUCT NUMBER,ALCOHOL,SUGAR,ACIDS,ENERGY,PRICE / LITRE,MORE INFORMATION,ADDITIONAL INFORMATION,INGREDIENTS DECLARED BY THE PRODUCER,PACKAGING,CLOSURE,PRODUCER,SUPPLIER,SELECTION,text,topNotch,tips
box,"https://www.alko.fi/en/products/946143/Darling-Cellars-Tabiso-Smooth-Rich-Red-Blend-2020-bag-in-box/ 
",casseroles,946143,15.0%,3.0 g/l,5.2 g/l,80.0 Kcal / 100ml,11.66 EUR,,May contain sediment,Contains sulphites,bag-in-box,plastic closure,Darling Cellars,Amka,sale-to-order selection,"Luscious and jammy reds are medium-bodied, full-bodied or very full-bodied wines that combine ripe berry notes and pronounced jammy flavours. You can discern notes of cherry jam, wild berry jam or dark plum in these wines. Ripe tannins add the necessary structure for pairing the wines with food.","Full-bodied, medium tannic, blackberry notes, blackcurrant notes, dark cherry notes","Wines with rich flavours and aromas are a good choice when serving meat dishes. Try with BBQ-marinated pork ribs, beef and vegetable skewers or T bone steaks."
box,"https://www.alko.fi/en/products/946143/Darling-Cellars-Tabiso-Smooth-Rich-Red-Blend-2020-bag-in-box/ 
",pasta and pizza,946143,15.0%,3.0 g/l,5.2 g/l,80.0 Kcal / 100ml,11.66 EUR,,May contain sediment,Contains sulphites,bag-in-box,plastic closure,Darling Cellars,Amka,sale-to-order selection,"Luscious and jammy reds are medium-bodied, full-bodied or very full-bodied wines that combine ripe berry notes and pronounced jammy flavours. You can discern notes of cherry jam, wild berry jam or dark plum in these wines. Ripe tannins add the necessary structure for pairing the wines with food.","Full-bodied, medium tannic, blackberry notes, blackcurrant notes, dark cherry notes","Wines with rich flavours and aromas are a good choice when serving meat dishes. Try with BBQ-marinated pork ribs, beef and vegetable skewers or T bone steaks."
box,"https://www.alko.fi/en/products/946143/Darling-Cellars-Tabiso-Smooth-Rich-Red-Blend-2020-bag-in-box/ 
",party wine,946143,15.0%,3.0 g/l,5.2 g/l,80.0 Kcal / 100ml,11.66 EUR,,May contain sediment,Contains sulphites,bag-in-box,plastic closure,Darling Cellars,Amka,sale-to-order selection,"Luscious and jammy reds are medium-bodied, full-bodied or very full-bodied wines that combine ripe berry notes and pronounced jammy flavours. You can discern notes of cherry jam, wild berry jam or dark plum in these wines. Ripe tannins add the necessary structure for pairing the wines with food.","Full-bodied, medium tannic, blackberry notes, blackcurrant notes, dark cherry notes","Wines with rich flavours and aromas are a good choice when serving meat dishes. Try with BBQ-marinated pork ribs, beef and vegetable skewers or T bone steaks."
box,"https://www.alko.fi/en/products/946143/Darling-Cellars-Tabiso-Smooth-Rich-Red-Blend-2020-bag-in-box/ 
",beef,946143,15.0%,3.0 g/l,5.2 g/l,80.0 Kcal / 100ml,11.66 EUR,,May contain sediment,Contains sulphites,bag-in-box,plastic closure,Darling Cellars,Amka,sale-to-order selection,"Luscious and jammy reds are medium-bodied, full-bodied or very full-bodied wines that combine ripe berry notes and pronounced jammy flavours. You can discern notes of cherry jam, wild berry jam or dark plum in these wines. Ripe tannins add the necessary structure for pairing the wines with food.","Full-bodied, medium tannic, blackberry notes, blackcurrant notes, dark cherry notes","Wines with rich flavours and aromas are a good choice when serving meat dishes. Try with BBQ-marinated pork ribs, beef and vegetable skewers or T bone steaks."
box,"https://www.alko.fi/en/products/915878/Chapel-Hill-Riesling-Sauvignon-Blanc-2018-bag-in-box/ 
","chicken, turkey",915878,12.0%,16.0 g/l,4.9 g/l,70.0 Kcal / 100ml,9.99 EUR,,,Contains sulphites,bag-in-box,,Chapel Hill,Hartwall,general selection,"Mellow and sweet whites are medium-dry or even sweet. You can discern apricot, honeydew melon and floral notes in these wines. Residual sugar rounds up the flavour.","Medium sweet, medium acidic, honey melon notes, peach notes, hint of currant, flowery","These wines are all characterised by delicious, fruity sweetness, which means that they are excellent for socialising and a good match for Eastern dishes and vegetables. Try with Indian vegetable or chicken korma, shrimp and cheese quiche or black label Emmental."
box,"https://www.alko.fi/en/products/915878/Chapel-Hill-Riesling-Sauvignon-Blanc-2018-bag-in-box/ 
",party wine,915878,12.0%,16.0 g/l,4.9 g/l,70.0 Kcal / 100ml,9.99 EUR,,,Contains sulphites,bag-in-box,,Chapel Hill,Hartwall,general selection,"Mellow and sweet whites are medium-dry or even sweet. You can discern apricot, honeydew melon and floral notes in these wines. Residual sugar rounds up the flavour.","Medium sweet, medium acidic, honey melon notes, peach notes, hint of currant, flowery","These wines are all characterised by delicious, fruity sweetness, which means that they are excellent for socialising and a good match for Eastern dishes and vegetables. Try with Indian vegetable or chicken korma, shrimp and cheese quiche or black label Emmental."
box,"https://www.alko.fi/en/products/915878/Chapel-Hill-Riesling-Sauvignon-Blanc-2018-bag-in-box/ 
","salads, vegetarian food",915878,12.0%,16.0 g/l,4.9 g/l,70.0 Kcal / 100ml,9.99 EUR,,,Contains sulphites,bag-in-box,,Chapel Hill,Hartwall,general selection,"Mellow and sweet whites are medium-dry or even sweet. You can discern apricot, honeydew melon and floral notes in these wines. Residual sugar rounds up the flavour.","Medium sweet, medium acidic, honey melon notes, peach notes, hint of currant, flowery","These wines are all characterised by delicious, fruity sweetness, which means that they are excellent for socialising and a good match for Eastern dishes and vegetables. Try with Indian vegetable or chicken korma, shrimp and cheese quiche or black label Emmental."
box,"https://www.alko.fi/en/products/915878/Chapel-Hill-Riesling-Sauvignon-Blanc-2018-bag-in-box/ 
",oriental food,915878,12.0%,16.0 g/l,4.9 g/l,70.0 Kcal / 100ml,9.99 EUR,,,Contains sulphites,bag-in-box,,Chapel Hill,Hartwall,general selection,"Mellow and sweet whites are medium-dry or even sweet. You can discern apricot, honeydew melon and floral notes in these wines. Residual sugar rounds up the flavour.","Medium sweet, medium acidic, honey melon notes, peach notes, hint of currant, flowery","These wines are all characterised by delicious, fruity sweetness, which means that they are excellent for socialising and a good match for Eastern dishes and vegetables. Try with Indian vegetable or chicken korma, shrimp and cheese quiche or black label Emmental."
box,"https://www.alko.fi/en/products/945966/Darling-Cellars-Tabiso-Chardonnay-Chenin-Blanc-2020-bag-in-box/ 
",buffet,945966,13.0%,3.0 g/l,6.0 g/l,70.0 Kcal / 100ml,11.66 EUR,,,Contains sulphites,bag-in-box,plastic closure,Darling Cellars,Amka,sale-to-order selection,"Crisp and fruity whites are dry, medium-dry or medium-sweet. They are typically crisply acidic, which balances their rich fruitiness. You can discern yellow plum, apple and peach notes in these wines. Crisp acids create a fresh finish, making these wines ideal for a variety of foods.","Dry, medium acidic, fruity, citrus notes, green apple notes","These wines are an excellent match for savoury starters, pasta and fish and seafood dishes. Try with different kinds of tapas or antipasti, shrimp salad or sushi."
box,"https://www.alko.fi/en/products/945966/Darling-Cellars-Tabiso-Chardonnay-Chenin-Blanc-2020-bag-in-box/ 
",pasta and pizza,945966,13.0%,3.0 g/l,6.0 g/l,70.0 Kcal / 100ml,11.66 EUR,,,Contains sulphites,bag-in-box,plastic closure,Darling Cellars,Amka,sale-to-order selection,"Crisp and fruity whites are dry, medium-dry or medium-sweet. They are typically crisply acidic, which balances their rich fruitiness. You can discern yellow plum, apple and peach notes in these wines. Crisp acids create a fresh finish, making these wines ideal for a variety of foods.","Dry, medium acidic, fruity, citrus notes, green apple notes","These wines are an excellent match for savoury starters, pasta and fish and seafood dishes. Try with different kinds of tapas or antipasti, shrimp salad or sushi."
