type,link,pair,PRODUCT NUMBER,ALCOHOL,SUGAR,ACIDS,ENERGY,PRICE / LITRE,MORE INFORMATION,ADDITIONAL INFORMATION,INGREDIENTS DECLARED BY THE PRODUCER,PACKAGING,CLOSURE,PRODUCER,SUPPLIER,SELECTION,text,topNotch,tips
desert,"https://www.alko.fi/en/products/911447/Jacob-s-Creek-Aperitivo-Spritz/ 
",pasta and pizza,911447,8.5%,75.0 g/l,6.7 g/l,80.0 Kcal / 100ml,18.52 EUR,,"Lower-alcohol wine (0,6-9,9%)",Contains sulphites,bottle,natural cork,Jacob's Creek Wines,Pernod Ricard Finland,sale-to-order selection,"Fruit wines and sparkling fruit wines are made from ingredients other than grapes. Aromatised wines are at least partially made from grapes, but berries or berry extract, or fruits or fruit extract, have been added to give flavour. Sparkling fruit wines often have currant, gooseberry and citrus flavours. In fruit wines, you can discern notes of apple, pear, blueberry, raspberry, cranberry or blackcurrant. Aromatised wines can be flavoured with strawberry, passion fruit, orange, raspberry, grapefruit or pear. The flavour is typically medium-sweet or sweet, and the wine can be fizzy or bubbly.","Sweet, medium acidic, aromatic, blood orange notes, citrus notes","Sparkling fruit wines, fruit wines and aromatised wines are perfect for socialising, as aperitifs or in mixed drinks and punches. Try them in cocktails or punches, and choose the berry or fruit that you like the most. You can adjust the alcohol content by adding spirits, liquor, sparkling water, tonic or juice. Decorate with the season’s berries, fruits and herbs."
desert,"https://www.alko.fi/en/products/911447/Jacob-s-Creek-Aperitivo-Spritz/ 
",berries and fruits,911447,8.5%,75.0 g/l,6.7 g/l,80.0 Kcal / 100ml,18.52 EUR,,"Lower-alcohol wine (0,6-9,9%)",Contains sulphites,bottle,natural cork,Jacob's Creek Wines,Pernod Ricard Finland,sale-to-order selection,"Fruit wines and sparkling fruit wines are made from ingredients other than grapes. Aromatised wines are at least partially made from grapes, but berries or berry extract, or fruits or fruit extract, have been added to give flavour. Sparkling fruit wines often have currant, gooseberry and citrus flavours. In fruit wines, you can discern notes of apple, pear, blueberry, raspberry, cranberry or blackcurrant. Aromatised wines can be flavoured with strawberry, passion fruit, orange, raspberry, grapefruit or pear. The flavour is typically medium-sweet or sweet, and the wine can be fizzy or bubbly.","Sweet, medium acidic, aromatic, blood orange notes, citrus notes","Sparkling fruit wines, fruit wines and aromatised wines are perfect for socialising, as aperitifs or in mixed drinks and punches. Try them in cocktails or punches, and choose the berry or fruit that you like the most. You can adjust the alcohol content by adding spirits, liquor, sparkling water, tonic or juice. Decorate with the season’s berries, fruits and herbs."
desert,"https://www.alko.fi/en/products/911447/Jacob-s-Creek-Aperitivo-Spritz/ 
",aperitif,911447,8.5%,75.0 g/l,6.7 g/l,80.0 Kcal / 100ml,18.52 EUR,,"Lower-alcohol wine (0,6-9,9%)",Contains sulphites,bottle,natural cork,Jacob's Creek Wines,Pernod Ricard Finland,sale-to-order selection,"Fruit wines and sparkling fruit wines are made from ingredients other than grapes. Aromatised wines are at least partially made from grapes, but berries or berry extract, or fruits or fruit extract, have been added to give flavour. Sparkling fruit wines often have currant, gooseberry and citrus flavours. In fruit wines, you can discern notes of apple, pear, blueberry, raspberry, cranberry or blackcurrant. Aromatised wines can be flavoured with strawberry, passion fruit, orange, raspberry, grapefruit or pear. The flavour is typically medium-sweet or sweet, and the wine can be fizzy or bubbly.","Sweet, medium acidic, aromatic, blood orange notes, citrus notes","Sparkling fruit wines, fruit wines and aromatised wines are perfect for socialising, as aperitifs or in mixed drinks and punches. Try them in cocktails or punches, and choose the berry or fruit that you like the most. You can adjust the alcohol content by adding spirits, liquor, sparkling water, tonic or juice. Decorate with the season’s berries, fruits and herbs."
desert,"https://www.alko.fi/en/products/940462/Domaine-de-la-Rectorie-Banyuls-Traditionnel-Pierre-Rapidel-2009/ 
",chocolate desserts,940462,16.5%,95.0 g/l,,130.0 Kcal / 100ml,60.34 EUR,,May contain sediment,Contains sulphites,bottle,natural cork,Domaine de la Rectorie,Viinitie,sale-to-order selection,"In addition to the most famous fortified wines, there are many less well-known wine types that are classics in their area of production. Depending on the wine type, the flavours range from floral, raisin and citrus to dark, toasted and intense chocolate.","Dark red, sweet, almond notes, nutty, orange marmalade notes","These fortified wines are usually sweet and therefore perfect as dessert wines, served with cheese or for socialising. Fortified wines with muscat aromas are flexible wines that go well with a variety of desserts due to their rich raisin and fresh citrus notes. Marsala wines, with their sweet, dried fruit flavours, are suitable for making dessert sauces and also pair well with rich desserts. Intensely sweet Malaga wines are ideal poured over ice cream. Banyulsia and Commandaria can be enjoyed in the same way as port, with chocolate desserts or strong cheeses."
desert,"https://www.alko.fi/en/products/940462/Domaine-de-la-Rectorie-Banyuls-Traditionnel-Pierre-Rapidel-2009/ 
",meditation beverage,940462,16.5%,95.0 g/l,,130.0 Kcal / 100ml,60.34 EUR,,May contain sediment,Contains sulphites,bottle,natural cork,Domaine de la Rectorie,Viinitie,sale-to-order selection,"In addition to the most famous fortified wines, there are many less well-known wine types that are classics in their area of production. Depending on the wine type, the flavours range from floral, raisin and citrus to dark, toasted and intense chocolate.","Dark red, sweet, almond notes, nutty, orange marmalade notes","These fortified wines are usually sweet and therefore perfect as dessert wines, served with cheese or for socialising. Fortified wines with muscat aromas are flexible wines that go well with a variety of desserts due to their rich raisin and fresh citrus notes. Marsala wines, with their sweet, dried fruit flavours, are suitable for making dessert sauces and also pair well with rich desserts. Intensely sweet Malaga wines are ideal poured over ice cream. Banyulsia and Commandaria can be enjoyed in the same way as port, with chocolate desserts or strong cheeses."
desert,"https://www.alko.fi/en/products/940462/Domaine-de-la-Rectorie-Banyuls-Traditionnel-Pierre-Rapidel-2009/ 
",sweet desserts,940462,16.5%,95.0 g/l,,130.0 Kcal / 100ml,60.34 EUR,,May contain sediment,Contains sulphites,bottle,natural cork,Domaine de la Rectorie,Viinitie,sale-to-order selection,"In addition to the most famous fortified wines, there are many less well-known wine types that are classics in their area of production. Depending on the wine type, the flavours range from floral, raisin and citrus to dark, toasted and intense chocolate.","Dark red, sweet, almond notes, nutty, orange marmalade notes","These fortified wines are usually sweet and therefore perfect as dessert wines, served with cheese or for socialising. Fortified wines with muscat aromas are flexible wines that go well with a variety of desserts due to their rich raisin and fresh citrus notes. Marsala wines, with their sweet, dried fruit flavours, are suitable for making dessert sauces and also pair well with rich desserts. Intensely sweet Malaga wines are ideal poured over ice cream. Banyulsia and Commandaria can be enjoyed in the same way as port, with chocolate desserts or strong cheeses."
desert,"https://www.alko.fi/en/products/940462/Domaine-de-la-Rectorie-Banyuls-Traditionnel-Pierre-Rapidel-2009/ 
",strong cheeses,940462,16.5%,95.0 g/l,,130.0 Kcal / 100ml,60.34 EUR,,May contain sediment,Contains sulphites,bottle,natural cork,Domaine de la Rectorie,Viinitie,sale-to-order selection,"In addition to the most famous fortified wines, there are many less well-known wine types that are classics in their area of production. Depending on the wine type, the flavours range from floral, raisin and citrus to dark, toasted and intense chocolate.","Dark red, sweet, almond notes, nutty, orange marmalade notes","These fortified wines are usually sweet and therefore perfect as dessert wines, served with cheese or for socialising. Fortified wines with muscat aromas are flexible wines that go well with a variety of desserts due to their rich raisin and fresh citrus notes. Marsala wines, with their sweet, dried fruit flavours, are suitable for making dessert sauces and also pair well with rich desserts. Intensely sweet Malaga wines are ideal poured over ice cream. Banyulsia and Commandaria can be enjoyed in the same way as port, with chocolate desserts or strong cheeses."
desert,"https://www.alko.fi/en/products/682467/Alvariini-Punaisen-Tuvan-Marjaviini/ 
",metal screw cap,682467,13.0%,15.0 g/l,9.9 g/l,80.0 Kcal / 100ml,16.28 EUR,,Finnish berry winery,Contains sulphites,bottle,metal screw cap,Punaisen Tuvan Viinitila,Punaisen Tuvan Viinitila,limited quantity product,"Fruit wines and sparkling fruit wines are made from ingredients other than grapes. Aromatised wines are at least partially made from grapes, but berries or berry extract, or fruits or fruit extract, have been added to give flavour. Sparkling fruit wines often have currant, gooseberry and citrus flavours. In fruit wines, you can discern notes of apple, pear, blueberry, raspberry, cranberry or blackcurrant. Aromatised wines can be flavoured with strawberry, passion fruit, orange, raspberry, grapefruit or pear. The flavour is typically medium-sweet or sweet, and the wine can be fizzy or bubbly.","Medium-bodied, currant notes, cherry notes, herbal notes, light vanilla notes","Sparkling fruit wines, fruit wines and aromatised wines are perfect for socialising, as aperitifs or in mixed drinks and punches. Try them in cocktails or punches, and choose the berry or fruit that you like the most. You can adjust the alcohol content by adding spirits, liquor, sparkling water, tonic or juice. Decorate with the season’s berries, fruits and herbs."
desert,"https://www.alko.fi/en/products/506534/Huff-Niersteiner-Schloss-Schwabsburg-Riesling-Eiswein-2018/ 
",chocolate desserts,506534,8.0%,190.0 g/l,10.4 g/l,120.0 Kcal / 100ml,123.52 EUR,,"Dessert wine. Lower-alcohol wine (0,6-9,9%)",Contains sulphites,bottle,natural cork,Georg Gustav Huff,Prodire Oy,limited quantity product,"Dessert wines are made from overripe grapes that are particularly sweet and aromatic. Grapes are often dehydrated by ‘noble rot’, or botrytis, which lends the wine a honey or medicine flavour. You can discern notes of peach, apricot, citrus and honey in sweet dessert wines. ‘Noble rot’ dessert wines also have hints of medicine, fresh acidity and intensive, full-bodied sweetness.","Sweet, very acidic, citrus notes, apricot notes, birch leaf notes, minerally, good body, well-balanced, long","The general rule for pairing a dessert with wine is that the wine should be a little sweeter than the food. Dessert wines go best with fresh berry, fruit and cream desserts. Try dessert wines with cream pudding, white chocolate mousse, Crêpes Suzette, macarons or blue cheese."
desert,"https://www.alko.fi/en/products/506534/Huff-Niersteiner-Schloss-Schwabsburg-Riesling-Eiswein-2018/ 
",berries and fruits,506534,8.0%,190.0 g/l,10.4 g/l,120.0 Kcal / 100ml,123.52 EUR,,"Dessert wine. Lower-alcohol wine (0,6-9,9%)",Contains sulphites,bottle,natural cork,Georg Gustav Huff,Prodire Oy,limited quantity product,"Dessert wines are made from overripe grapes that are particularly sweet and aromatic. Grapes are often dehydrated by ‘noble rot’, or botrytis, which lends the wine a honey or medicine flavour. You can discern notes of peach, apricot, citrus and honey in sweet dessert wines. ‘Noble rot’ dessert wines also have hints of medicine, fresh acidity and intensive, full-bodied sweetness.","Sweet, very acidic, citrus notes, apricot notes, birch leaf notes, minerally, good body, well-balanced, long","The general rule for pairing a dessert with wine is that the wine should be a little sweeter than the food. Dessert wines go best with fresh berry, fruit and cream desserts. Try dessert wines with cream pudding, white chocolate mousse, Crêpes Suzette, macarons or blue cheese."
