type,link,pair,PRODUCT NUMBER,ALCOHOL,SUGAR,ACIDS,ENERGY,PRICE / LITRE,MORE INFORMATION,ADDITIONAL INFORMATION,INGREDIENTS DECLARED BY THE PRODUCER,PACKAGING,CLOSURE,PRODUCER,SUPPLIER,SELECTION,text,topNotch,tips
rose,"https://www.alko.fi/en/products/950523/Mon-Grand-Grenache-Noir-Ros-2018/ 
","clams, mussels, scallops and oysters",950523,12.5%,1.0 g/l,6.0 g/l,70.0 Kcal / 100ml,17.21 EUR,,,Contains sulphites,bottle,metal screw cap,Pierrick Harang Wine,Viinitie,sale-to-order selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, flowery, raspberry notes, minerally","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/950523/Mon-Grand-Grenache-Noir-Ros-2018/ 
",metal screw cap,950523,12.5%,1.0 g/l,6.0 g/l,70.0 Kcal / 100ml,17.21 EUR,,,Contains sulphites,bottle,metal screw cap,Pierrick Harang Wine,Viinitie,sale-to-order selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, flowery, raspberry notes, minerally","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/950523/Mon-Grand-Grenache-Noir-Ros-2018/ 
",sushi,950523,12.5%,1.0 g/l,6.0 g/l,70.0 Kcal / 100ml,17.21 EUR,,,Contains sulphites,bottle,metal screw cap,Pierrick Harang Wine,Viinitie,sale-to-order selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, flowery, raspberry notes, minerally","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/950523/Mon-Grand-Grenache-Noir-Ros-2018/ 
",aperitif,950523,12.5%,1.0 g/l,6.0 g/l,70.0 Kcal / 100ml,17.21 EUR,,,Contains sulphites,bottle,metal screw cap,Pierrick Harang Wine,Viinitie,sale-to-order selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, flowery, raspberry notes, minerally","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/950523/Mon-Grand-Grenache-Noir-Ros-2018/ 
",tapas and antipasti,950523,12.5%,1.0 g/l,6.0 g/l,70.0 Kcal / 100ml,17.21 EUR,,,Contains sulphites,bottle,metal screw cap,Pierrick Harang Wine,Viinitie,sale-to-order selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, flowery, raspberry notes, minerally","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/428627/Jacob-s-Creek-Le-Petit-Ros-2020/ 
",metal screw cap,428627,12.4%,2.0 g/l,5.5 g/l,70.0 Kcal / 100ml,15.85 EUR,,,Contains sulphites,bottle,metal screw cap,Jacob's Creek Wines,Pernod Ricard Finland,general selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, raspberry notes, redcurrant notes, citrus notes, light spice notes","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/428627/Jacob-s-Creek-Le-Petit-Ros-2020/ 
","salads, vegetarian food",428627,12.4%,2.0 g/l,5.5 g/l,70.0 Kcal / 100ml,15.85 EUR,,,Contains sulphites,bottle,metal screw cap,Jacob's Creek Wines,Pernod Ricard Finland,general selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, raspberry notes, redcurrant notes, citrus notes, light spice notes","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/428627/Jacob-s-Creek-Le-Petit-Ros-2020/ 
",savoury snacks,428627,12.4%,2.0 g/l,5.5 g/l,70.0 Kcal / 100ml,15.85 EUR,,,Contains sulphites,bottle,metal screw cap,Jacob's Creek Wines,Pernod Ricard Finland,general selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, raspberry notes, redcurrant notes, citrus notes, light spice notes","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/428627/Jacob-s-Creek-Le-Petit-Ros-2020/ 
","chicken, turkey",428627,12.4%,2.0 g/l,5.5 g/l,70.0 Kcal / 100ml,15.85 EUR,,,Contains sulphites,bottle,metal screw cap,Jacob's Creek Wines,Pernod Ricard Finland,general selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, raspberry notes, redcurrant notes, citrus notes, light spice notes","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
rose,"https://www.alko.fi/en/products/428627/Jacob-s-Creek-Le-Petit-Ros-2020/ 
",party wine,428627,12.4%,2.0 g/l,5.5 g/l,70.0 Kcal / 100ml,15.85 EUR,,,Contains sulphites,bottle,metal screw cap,Jacob's Creek Wines,Pernod Ricard Finland,general selection,"Rosé wines are usually made from red grapes, and they obtain their colour from a short contact with grape skins. Some New World rosés are made by adding a little red wine to white wine. The level of sweetness ranges from dry to sweet and the flavour from mineral and herbal to strong berry notes. The lightest rosés are pale pink and the darkest translucent red. You can discern redcurrant, strawberry and raspberry notes in these wines.","Dry, acidic, raspberry notes, redcurrant notes, citrus notes, light spice notes","Rosé wines are ideal for socialising, and you can also pair them with food. Rosés are a good choice for summer buffets with cold foods, such as cold cuts, salads and shellfish. You can also try rosé with rustic salads, grilled drumsticks or bouillabaisse."
