type,link,pair,PRODUCT NUMBER,ALCOHOL,SUGAR,ACIDS,ENERGY,PRICE / LITRE,MORE INFORMATION,ADDITIONAL INFORMATION,INGREDIENTS DECLARED BY THE PRODUCER,PACKAGING,CLOSURE,PRODUCER,SUPPLIER,SELECTION,text,topNotch,tips
sparkling,"https://www.alko.fi/en/products/947947/Hardys-Crest-Sparkling-Chardonnay-Pinot-Noir-Brut/ 
",lean fish,947947,12.0%,13.0 g/l,6.5 g/l,70.0 Kcal / 100ml,17.45 EUR,,,Contains sulphites. Contains milk,bottle,natural cork,Thomas Hardy & Sons,Quantum Beverages,sale-to-order selection,"Sweetness varies from very dry to medium-sweet. Their rich fruitiness is typically balanced with a crisp acidity. Ideal for toasts, socialising and buffets, or to accompany shellfish, fish and vegetable dishes.","Brut, acidic, fruity, apple notes, good body, well-balanced","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/947947/Hardys-Crest-Sparkling-Chardonnay-Pinot-Noir-Brut/ 
","salads, vegetarian food",947947,12.0%,13.0 g/l,6.5 g/l,70.0 Kcal / 100ml,17.45 EUR,,,Contains sulphites. Contains milk,bottle,natural cork,Thomas Hardy & Sons,Quantum Beverages,sale-to-order selection,"Sweetness varies from very dry to medium-sweet. Their rich fruitiness is typically balanced with a crisp acidity. Ideal for toasts, socialising and buffets, or to accompany shellfish, fish and vegetable dishes.","Brut, acidic, fruity, apple notes, good body, well-balanced","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/947947/Hardys-Crest-Sparkling-Chardonnay-Pinot-Noir-Brut/ 
",aperitif,947947,12.0%,13.0 g/l,6.5 g/l,70.0 Kcal / 100ml,17.45 EUR,,,Contains sulphites. Contains milk,bottle,natural cork,Thomas Hardy & Sons,Quantum Beverages,sale-to-order selection,"Sweetness varies from very dry to medium-sweet. Their rich fruitiness is typically balanced with a crisp acidity. Ideal for toasts, socialising and buffets, or to accompany shellfish, fish and vegetable dishes.","Brut, acidic, fruity, apple notes, good body, well-balanced","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/947947/Hardys-Crest-Sparkling-Chardonnay-Pinot-Noir-Brut/ 
",seafood,947947,12.0%,13.0 g/l,6.5 g/l,70.0 Kcal / 100ml,17.45 EUR,,,Contains sulphites. Contains milk,bottle,natural cork,Thomas Hardy & Sons,Quantum Beverages,sale-to-order selection,"Sweetness varies from very dry to medium-sweet. Their rich fruitiness is typically balanced with a crisp acidity. Ideal for toasts, socialising and buffets, or to accompany shellfish, fish and vegetable dishes.","Brut, acidic, fruity, apple notes, good body, well-balanced","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/940157/Pierre-Gimonnet-Cuv-e-Cuis-1er-Cru-Blanc-de-Blancs-Champagne-Brut/ 
","clams, mussels, scallops and oysters",940157,12.5%,7.0 g/l,6.5 g/l,70.0 Kcal / 100ml,61.15 EUR,,,Contains sulphites,bottle,natural cork,Pierre Gimonnet & Fils,Carelia Wines,sale-to-order selection,"Very dry or dry. A mineral-rich and refreshingly fruity bouquet. Thanks to their high acidity, these wines shine when paired with shellfish, fish, rich vegetable dishes, or white meat.","Brut, very acidic, citrus notes, green apple notes, minerally","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/940157/Pierre-Gimonnet-Cuv-e-Cuis-1er-Cru-Blanc-de-Blancs-Champagne-Brut/ 
",lean fish,940157,12.5%,7.0 g/l,6.5 g/l,70.0 Kcal / 100ml,61.15 EUR,,,Contains sulphites,bottle,natural cork,Pierre Gimonnet & Fils,Carelia Wines,sale-to-order selection,"Very dry or dry. A mineral-rich and refreshingly fruity bouquet. Thanks to their high acidity, these wines shine when paired with shellfish, fish, rich vegetable dishes, or white meat.","Brut, very acidic, citrus notes, green apple notes, minerally","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/940157/Pierre-Gimonnet-Cuv-e-Cuis-1er-Cru-Blanc-de-Blancs-Champagne-Brut/ 
",aperitif,940157,12.5%,7.0 g/l,6.5 g/l,70.0 Kcal / 100ml,61.15 EUR,,,Contains sulphites,bottle,natural cork,Pierre Gimonnet & Fils,Carelia Wines,sale-to-order selection,"Very dry or dry. A mineral-rich and refreshingly fruity bouquet. Thanks to their high acidity, these wines shine when paired with shellfish, fish, rich vegetable dishes, or white meat.","Brut, very acidic, citrus notes, green apple notes, minerally","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/940157/Pierre-Gimonnet-Cuv-e-Cuis-1er-Cru-Blanc-de-Blancs-Champagne-Brut/ 
",seafood,940157,12.5%,7.0 g/l,6.5 g/l,70.0 Kcal / 100ml,61.15 EUR,,,Contains sulphites,bottle,natural cork,Pierre Gimonnet & Fils,Carelia Wines,sale-to-order selection,"Very dry or dry. A mineral-rich and refreshingly fruity bouquet. Thanks to their high acidity, these wines shine when paired with shellfish, fish, rich vegetable dishes, or white meat.","Brut, very acidic, citrus notes, green apple notes, minerally","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/952207/Drappier-Carte-d-Or-Champagne-Brut-2002/ 
","clams, mussels, scallops and oysters",952207,12.0%,8.0 g/l,4.9 g/l,70.0 Kcal / 100ml,99.99 EUR,,,Contains sulphites,bottle,natural cork,Drappier,CISA Drinks Oy,sale-to-order selection,"Very dry or dry. A full-bodied and toasty bouquet. Thanks to their rich spiciness and balanced acidity, these wines also make an ideal accompaniment to stronger dishes, such as pork, veal, game birds and seafood.","Brut, acidic, fruity, citrus notes, herbal notes","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
sparkling,"https://www.alko.fi/en/products/952207/Drappier-Carte-d-Or-Champagne-Brut-2002/ 
",pork,952207,12.0%,8.0 g/l,4.9 g/l,70.0 Kcal / 100ml,99.99 EUR,,,Contains sulphites,bottle,natural cork,Drappier,CISA Drinks Oy,sale-to-order selection,"Very dry or dry. A full-bodied and toasty bouquet. Thanks to their rich spiciness and balanced acidity, these wines also make an ideal accompaniment to stronger dishes, such as pork, veal, game birds and seafood.","Brut, acidic, fruity, citrus notes, herbal notes","Sparkling wines and Champagnes are ideal for toasting, as aperitifs, for socialising or for serving throughout a meal."
